timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2024-08-29T00:00:00.000Z,2024-08-29T23:59:59.999Z,2024-08-29T15:35:00.000Z,2024-08-29T22:10:00.000Z,2781,2528.362339,2595.97695,2507.502461,2528.792715,13946434277,3.04203E+11,2024-08-29T23:59:59.999Z
2024-08-28T00:00:00.000Z,2024-08-28T23:59:59.999Z,2024-08-28T21:27:00.000Z,2024-08-28T01:38:00.000Z,2781,2458.904729,2553.820133,2422.293631,2528.415504,20359545410,3.04159E+11,2024-08-28T23:59:59.999Z
2024-08-27T00:00:00.000Z,2024-08-27T23:59:59.999Z,2024-08-27T05:52:00.000Z,2024-08-27T22:16:00.000Z,2781,2681.622855,2700.152794,2401.175001,2458.726473,18028996056,2.95804E+11,2024-08-27T23:59:59.999Z
2024-08-26T00:00:00.000Z,2024-08-26T23:59:59.999Z,2024-08-26T00:36:00.000Z,2024-08-26T21:23:00.000Z,2781,2749.247573,2763.004177,2668.886669,2681.340514,12282035835,3.22597E+11,2024-08-26T23:59:59.999Z
2024-08-25T00:00:00.000Z,2024-08-25T23:59:59.999Z,2024-08-25T21:23:00.000Z,2024-08-25T07:39:00.000Z,2781,2769.098245,2793.012985,2736.088941,2749.157667,9375535539,3.30719E+11,2024-08-25T23:59:59.999Z
2024-08-24T00:00:00.000Z,2024-08-24T23:59:59.999Z,2024-08-24T16:41:00.000Z,2024-08-24T22:00:00.000Z,2781,2765.481567,2820.020562,2737.776668,2769.389732,11765811307,3.33118E+11,2024-08-24T23:59:59.999Z
2024-08-23T00:00:00.000Z,2024-08-23T23:59:59.999Z,2024-08-23T22:35:00.000Z,2024-08-23T00:06:00.000Z,2781,2622.916072,2799.329857,2622.581054,2764.447103,16857181970,3.32677E+11,2024-08-23T23:59:59.999Z
2024-08-22T00:00:00.000Z,2024-08-22T23:59:59.999Z,2024-08-22T12:05:00.000Z,2024-08-22T02:54:00.000Z,2781,2630.86425,2644.823723,2587.110675,2622.951355,10723280428,3.1552E+11,2024-08-22T23:59:59.999Z
2024-08-21T00:00:00.000Z,2024-08-21T23:59:59.999Z,2024-08-21T20:06:00.000Z,2024-08-21T13:44:00.000Z,2781,2573.108974,2662.953489,2538.657792,2631.395604,12766015263,3.1647E+11,2024-08-21T23:59:59.999Z
2024-08-20T00:00:00.000Z,2024-08-20T23:59:59.999Z,2024-08-20T05:24:00.000Z,2024-08-20T15:08:00.000Z,2781,2637.306294,2695.9137,2556.74764,2573.106858,13249483464,3.09517E+11,2024-08-20T23:59:59.999Z
2024-08-19T00:00:00.000Z,2024-08-19T23:59:59.999Z,2024-08-19T04:03:00.000Z,2024-08-19T13:53:00.000Z,2781,2612.71851,2648.284478,2566.401222,2637.30629,11968963282,3.17232E+11,2024-08-19T23:59:59.999Z
